lemma,pos,type
acerbus,http://lila-erc.eu/ontologies/lila/adjective,stable
adsumo,http://lila-erc.eu/ontologies/lila/verb,stable
ancilla,http://lila-erc.eu/ontologies/lila/noun,stable
beatus,http://lila-erc.eu/ontologies/lila/adjective,changed
ciuitas,http://lila-erc.eu/ontologies/lila/noun,changed
cohors,http://lila-erc.eu/ontologies/lila/noun,changed
consilium,http://lila-erc.eu/ontologies/lila/noun,stable
consul,http://lila-erc.eu/ontologies/lila/noun,changed
credo,http://lila-erc.eu/ontologies/lila/verb,changed
dolus,http://lila-erc.eu/ontologies/lila/noun,changed
dubius,http://lila-erc.eu/ontologies/lila/adjective,stable
dux,http://lila-erc.eu/ontologies/lila/noun,changed
fidelis,http://lila-erc.eu/ontologies/lila/adjective,changed
honor,http://lila-erc.eu/ontologies/lila/noun,stable
hostis,http://lila-erc.eu/ontologies/lila/noun,stable
humanitas,http://lila-erc.eu/ontologies/lila/noun,changed
imperator,http://lila-erc.eu/ontologies/lila/noun,changed
itero,http://lila-erc.eu/ontologies/lila/verb,changed
ius,http://lila-erc.eu/ontologies/lila/noun,stable
licet,http://lila-erc.eu/ontologies/lila/verb,stable
necessarius,http://lila-erc.eu/ontologies/lila/adjective,stable
nepos,http://lila-erc.eu/ontologies/lila/noun,stable
nobilitas,http://lila-erc.eu/ontologies/lila/noun,stable
oportet,http://lila-erc.eu/ontologies/lila/verb,stable
poena,http://lila-erc.eu/ontologies/lila/noun,stable
pontifex,http://lila-erc.eu/ontologies/lila/noun,changed
potestas,http://lila-erc.eu/ontologies/lila/noun,changed
regnum,http://lila-erc.eu/ontologies/lila/noun,stable
sacramentum,http://lila-erc.eu/ontologies/lila/noun,changed
salus,http://lila-erc.eu/ontologies/lila/noun,stable
sanctus,http://lila-erc.eu/ontologies/lila/adjective,changed
sapientia,http://lila-erc.eu/ontologies/lila/noun,stable
scriptura,http://lila-erc.eu/ontologies/lila/noun,changed
senatus,http://lila-erc.eu/ontologies/lila/noun,stable
sensus,http://lila-erc.eu/ontologies/lila/noun,stable
simplex,http://lila-erc.eu/ontologies/lila/adjective,stable
templum,http://lila-erc.eu/ontologies/lila/noun,stable
titulus,http://lila-erc.eu/ontologies/lila/noun,stable
virtus,http://lila-erc.eu/ontologies/lila/noun,changed
uoluntas,http://lila-erc.eu/ontologies/lila/noun,stable